Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
53,Ben Simmons\simmobe01,PG,24,PHI,58,1877,18.3,.584,.017,.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,,2.7,3.3,6.0,.153,,0.8,1.9,2.7,2.2
54,Khris Middleton\middlkh01,SF,29,MIL,68,2269,18.2,.588,.340,.220,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25.0,,4.1,2.2,6.4,.135,,2.0,-0.7,1.3,1.9
55,Naz Reid\reidna01,C,21,MIN,70,1347,18.2,.599,.299,.286,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,,1.9,1.3,3.2,.113,,-0.2,-0.5,-0.6,0.5
56,Collin Sexton\sextoco01,SG,22,CLE,60,2115,18.0,.573,.239,.347,3.0,7.0,4.9,22.6,1.4,0.4,11.6,29.7,,2.6,0.9,3.5,.080,,1.9,-1.9,0.0,1.0
57,Malcolm Brogdon\brogdma01,PG,28,IND,56,1930,17.9,.561,.382,.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,,2.9,1.3,4.2,.105,,2.9,-1.4,1.5,1.7
58,Caris LeVert\leverca01,SG,26,TOT,47,1486,17.8,.531,.317,.221,2.5,13.1,7.8,25.4,2.1,1.7,10.2,28.7,,0.9,1.5,2.4,.077,,0.3,-0.4,-0.1,0.7
59,Pascal Siakam\siakapa01,PF,26,TOR,56,2006,17.7,.547,.256,.313,5.0,17.6,11.1,20.5,1.5,1.8,10.6,26.3,,2.3,2.0,4.2,.101,,0.8,-0.4,0.4,1.2
60,Kemba Walker\walkeke02,PG,30,BOS,43,1369,17.7,.559,.522,.220,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,,2.1,1.1,3.3,.115,,2.5,-0.7,1.8,1.3
61,Gordon Hayward\haywago01,SF,30,CHO,44,1496,17.6,.584,.312,.281,2.6,16.3,9.3,19.5,1.7,0.9,11.0,23.9,,2.2,1.4,3.5,.114,,1.9,-0.5,1.4,1.3
62,LaMelo Ball\ballla01,PG,19,CHO,51,1469,17.5,.539,.388,.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,,1.0,1.9,2.8,.093,,1.2,0.6,1.9,1.4
63,Jakob Poeltl\poeltja01,C,25,SAS,69,1845,17.5,.612,.000,.288,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,,3.2,2.5,5.7,.148,,-0.4,1.1,0.7,1.2
64,Brandon Clarke\clarkbr01,PF,24,MEM,59,1415,17.3,.560,.156,.228,7.2,17.5,12.3,9.5,2.0,3.2,5.7,17.2,,2.2,2.0,4.2,.142,,0.3,1.0,1.3,1.2
65,Kyle Anderson\anderky01,PF,27,MEM,69,1887,17.2,.578,.397,.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,,2.9,2.7,5.6,.143,,1.4,1.7,3.1,2.4
66,Jalen Brunson\brunsja01,PG,24,DAL,68,1697,17.1,.618,.319,.241,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,,3.9,1.1,5.1,.143,,1.4,-0.9,0.5,1.1
67,Jordan Clarkson\clarkjo01,SG,28,UTA,68,1818,17.1,.549,.557,.134,2.9,12.7,8.0,15.3,1.6,0.4,9.2,29.7,,1.7,2.5,4.2,.111,,1.9,-0.8,1.1,1.4
68,Terry Rozier\roziete01,SG,26,CHO,69,2383,17.1,.575,.504,.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,,3.3,2.0,5.2,.105,,2.4,-0.9,1.5,2.1
69,Jerami Grant\grantje01,SF,26,DET,54,1829,16.9,.556,.353,.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,,1.6,1.6,3.2,.083,,2.0,-1.2,0.9,1.3
70,T.J. McConnell\mccontj01,PG,28,IND,69,1796,16.9,.583,.098,.098,3.3,12.1,7.7,34.3,3.4,1.0,20.9,15.3,,2.6,2.2,4.8,.128,,-0.1,1.6,1.5,1.6
71,Fred VanVleet\vanvlfr01,SG,26,TOR,52,1899,16.8,.534,.547,.220,1.8,11.3,6.4,26.7,2.2,2.0,9.1,23.9,,2.4,1.8,4.3,.108,,2.3,-0.1,2.2,2.0
72,Wendell Carter Jr.\cartewe01,C,21,TOT,54,1375,16.7,.566,.112,.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,,1.7,1.7,3.4,.118,,-1.0,-0.5,-1.5,0.1
73,Robin Lopez\lopezro01,C,32,WAS,71,1354,16.7,.661,.042,.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,,2.8,0.9,3.7,.131,,0.3,-1.4,-1.1,0.3
74,Ja Morant\moranja01,PG,21,MEM,63,2053,16.7,.537,.252,.389,3.0,10.1,6.5,33.5,1.3,0.6,15.3,27.2,,1.6,1.6,3.2,.074,,1.3,-2.0,-0.8,0.6
75,Kyle Lowry\lowryky01,PG,34,TOR,46,1601,16.5,.593,.555,.268,2.3,15.1,8.5,31.8,1.4,0.9,15.9,21.4,,2.9,1.3,4.1,.124,,1.9,-0.7,1.2,1.3
76,Dejounte Murray\murrade01,PG,24,SAS,67,2139,16.5,.509,.204,.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,,0.7,2.6,3.3,.074,,-0.2,0.8,0.6,1.4
77,Mikal Bridges\bridgmi01,SF,24,PHO,72,2348,16.4,.667,.471,.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,,5.4,2.6,8.0,.164,,2.2,0.8,3.0,3.0
78,Kelly Olynyk\olynyke01,C-PF,29,TOT,70,1997,16.4,.610,.528,.251,4.8,22.5,13.6,16.0,1.9,2.1,14.0,19.7,,2.5,2.6,5.1,.121,,0.2,0.9,1.1,1.6
79,Isaiah Stewart\stewais01,C,19,DET,68,1455,16.4,.597,.154,.225,12.0,22.7,17.3,6.3,1.3,5.2,13.0,15.5,,1.9,2.1,4.0,.132,,-1.6,0.4,-1.2,0.3
80,Delon Wright\wrighde01,SG-PG,28,TOT,63,1748,16.3,.562,.332,.243,4.1,13.1,8.6,23.0,2.8,1.5,12.6,16.3,,2.5,1.8,4.3,.117,,0.7,1.3,2.0,1.7
81,Tyrese Haliburton\halibty01,PG,20,SAC,58,1746,16.2,.585,.478,.090,2.4,8.6,5.5,24.6,2.1,1.4,12.5,18.1,,2.8,0.7,3.5,.096,,1.9,-0.9,1.1,1.4
82,Norman Powell\powelno01,SG-SF,27,TOT,69,2205,16.2,.618,.453,.295,2.0,8.8,5.3,9.2,1.8,0.8,10.3,22.6,,3.4,1.3,4.7,.103,,0.8,-0.7,0.1,1.2
83,Bruce Brown\brownbr01,PG,24,BRK,65,1451,16.1,.604,.139,.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,,2.8,1.5,4.4,.144,,-0.4,0.1,-0.3,0.6
84,Joe Ingles\inglejo01,SF,33,UTA,67,1867,15.9,.672,.722,.160,1.6,11.8,6.9,24.0,1.2,0.5,16.3,16.6,,4.7,2.3,7.0,.180,,2.7,0.7,3.4,2.5
85,Tim Hardaway Jr.\hardati02,SG,28,DAL,70,1985,15.7,.589,.581,.191,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,,3.2,1.2,4.3,.105,,1.9,-1.8,0.1,1.1
86,Doug McDermott\mcderdo01,PF,29,IND,66,1619,15.6,.635,.430,.147,4.0,10.7,7.4,7.8,0.6,0.3,7.0,20.0,,3.1,0.7,3.8,.112,,1.5,-2.1,-0.5,0.6
87,OG Anunoby\anunoog01,SF,23,TOR,43,1433,15.4,.605,.503,.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,,1.5,1.6,3.1,.104,,0.6,0.3,1.0,1.1
88,Harrison Barnes\barneha02,PF,28,SAC,58,2102,15.4,.626,.399,.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,,4.0,0.5,4.5,.103,,1.4,-1.6,-0.2,1.0
89,Brook Lopez\lopezbr01,C,32,MIL,70,1902,15.4,.611,.439,.222,6.0,13.0,9.6,3.5,1.0,4.8,8.3,16.9,,3.1,2.2,5.3,.133,,0.1,-0.1,0.0,1.0
90,Myles Turner\turnemy01,C,24,IND,47,1455,15.3,.599,.477,.329,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,,1.1,2.2,3.3,.110,,-1.3,1.7,0.4,0.9
91,Lonzo Ball\balllo01,PG,23,NOP,55,1747,15.2,.551,.650,.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,,1.5,1.7,3.2,.089,,1.4,0.2,1.6,1.6
92,Steven Adams\adamsst01,C,27,NOP,58,1605,15.1,.596,.010,.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,.119,,-0.3,-0.5,-0.8,0.5
